2457905.728422,145045,4344607.070534,52.738972,4347423.903883,4358502.114810,False,False,False,False
2457905.748855,145046,4343814.205338,52.901833,4347593.090638,4358675.244625,False,False,False,False
2457905.769287,145047,4342828.795488,52.337805,4347781.478639,4358867.164353,False,False,False,False
2457905.789720,145048,4341437.469921,52.518837,4347993.706260,4359082.512166,False,False,False,False
2457905.810152,145049,4339523.457022,53.438417,4347494.184287,4358585.698632,False,False,False,False
2457905.830584,145050,4338257.065811,52.883892,4347487.587414,4358581.398344,False,False,False,False
2457905.851017,145051,4337242.233128,53.563995,4347220.557544,4358316.253086,False,False,False,False
2457905.871449,145052,4337517.432816,53.273769,4347484.759925,4358581.928036,False,False,False,False
2457905.891881,145053,4339446.230690,53.230732,4348372.231416,4359470.460016,False,False,False,False
2457905.912314,145054,4340055.818213,53.034529,4347296.648452,4358395.525464,False,False,False,False
2457905.932746,145055,4341144.121773,53.321964,4347308.122689,4358407.236071,False,False,False,False
2457905.953179,145056,4342796.570915,52.938534,4347869.105506,4358968.043283,False,False,False,False
2457905.973611,145057,4343914.880039,52.603340,4347900.945577,4358999.295890,False,False,False,False
2457905.994044,145058,4345128.316723,51.228203,4347969.788612,4359067.139734,False,False,False,False
2457906.014476,145059,4346396.953493,51.119871,4347750.293889,4358846.234263,False,False,False,False
2457906.034908,145060,4348068.084290,50.638554,4347838.138793,4358932.257099,False,False,False,False
2457906.055341,145061,4349616.150906,50.359249,4348014.393021,4359106.278159,False,False,False,False
2457906.075773,145062,4350548.676544,49.750008,4347556.269812,4358645.510954,False,False,False,False
2457906.096206,145063,4351708.198406,49.275352,4347570.679555,4358656.866230,False,False,False,False
2457906.116638,145064,4352406.230574,49.695261,4347406.567663,4358489.289706,False,False,False,False
2457906.137071,145065,4353219.237633,49.567245,4347705.281517,4358784.129139,False,False,False,False
2457906.157503,145066,4363235.339352,53.399559,4365825.930822,4376900.494687,False,True,True,True
2457906.177935,145067,4348286.281660,53.770254,4347627.747379,4358697.618583,False,True,True,True
2457906.198368,145068,4347843.374809,53.157665,4347750.554021,4358815.324141,False,False,False,False
2457906.218800,145069,4347085.554831,53.341532,4347840.706569,4358899.967700,False,False,False,False
2457906.239233,145070,4346401.293688,54.067148,4348197.888800,4359251.233583,False,False,False,False
2457906.259665,145071,4345323.918449,53.700928,4348257.211426,4359304.233089,False,False,False,False
2457906.280097,145072,4344019.413305,52.422495,4348283.416726,4359323.709106,False,False,False,False
2457906.300530,145073,4342720.146492,54.069626,4348105.746089,4359138.903674,False,False,False,False
2457906.320962,145074,4341564.505680,53.317829,4348145.464993,4359171.082949,False,False,False,False
2457906.341395,145075,4340332.242037,54.083902,4348000.008615,4359017.682819,False,False,False,False
2457906.361827,145076,4339846.331774,53.678759,4348002.786489,4359012.113521,False,False,False,False
2457906.382259,145077,4340015.057461,53.694256,4347855.444102,4358856.021443,False,False,False,False
2457906.402692,145078,4340854.453224,54.703678,4347767.902638,4358759.328450,False,False,False,False
2457906.423124,145079,4341298.645414,54.121531,4347521.598448,4358503.471724,False,False,False,False
2457906.443557,145080,4342308.912558,53.135607,4347704.781977,4358676.702724,False,False,False,False
2457906.463989,145081,4343126.901342,53.457338,4347640.876673,4358602.445603,False,False,False,False
2457906.484422,145082,4344046.588530,53.394365,4347923.256318,4358874.075223,False,False,False,False
2457906.504854,145083,4344426.892904,53.502138,4347537.818222,4358477.489861,False,False,False,False
2457906.525286,145084,4345801.552816,52.297606,4347877.763011,4358805.890968,False,False,False,False
2457906.545719,145085,4348027.451857,51.862585,4348693.588134,4359609.777183,False,False,False,False
2457906.566151,145086,4348716.964830,51.477636,4347971.465080,4358875.321049,False,False,False,False
2457906.586584,145087,4350479.868084,51.004780,4348334.528232,4359225.657848,False,False,False,False
2457906.607016,145088,4353060.857838,51.036999,4349542.351061,4360420.362344,False,False,False,False
2457906.627448,145089,4353331.798512,49.796478,4348663.046403,4359527.548520,False,False,False,False
2457906.647881,145090,4348052.882172,54.895695,4354057.217023,4364907.820107,False,True,True,True
2457906.668313,145091,4341369.501352,54.194105,4348078.828941,4358915.144593,False,False,False,False
2457906.688745,145092,4342477.667707,53.519209,4348166.659142,4358988.299983,False,False,False,False
2457906.709178,145093,4343259.026079,53.485395,4347864.660867,4358671.240764,False,False,False,False
2457906.729610,145094,4343790.850340,53.794683,4347794.187776,4358585.322025,False,False,False,False
2457906.750043,145095,4344280.354038,53.356060,4347846.860047,4358622.165260,False,False,False,False
2457906.770475,145096,4344538.480415,54.010780,4347624.292469,4358383.386357,False,False,False,False
2457906.790908,145097,4345636.342108,52.640032,4347837.841853,4358580.343726,False,False,False,False
2457906.811340,145098,4347385.218355,50.753778,4348284.394224,4359009.924706,False,False,False,False
2457906.831772,145099,4348671.747866,50.648138,4348063.800986,4358771.982114,False,False,False,False
2457906.852205,145100,4350528.096687,51.065311,4348038.401380,4358728.856638,False,False,False,False
2457906.872637,145101,4351960.978973,50.440327,4348098.914510,4358771.268759,False,False,False,False
2457906.893070,145102,4347375.523281,55.294632,4352932.003299,4363585.883164,False,True,True,True
2457906.913502,145103,4341756.962337,54.305405,4347780.346497,4358415.379857,False,False,False,False
2457906.933934,145104,4342867.810419,54.933031,4347853.748737,4358469.565011,False,False,False,False
2457906.954367,145105,4343863.123957,54.175657,4347912.732293,4358508.962755,False,False,False,False
2457906.974799,145106,4344473.659584,53.989006,4347997.645243,4358573.922480,False,False,False,False
2457906.995232,145107,4344975.618982,53.275949,4348074.245037,4358630.203249,False,False,False,False
