3074.403879236, 0.996292402,
3074.424311615, 0.996195232,
3074.444743892, 0.996174052,
3074.465176370, 0.996196323,
3074.485608747, 0.996193042,
3074.506041023, 0.996239284,
3074.526473499, 0.996292433,
3074.546905875, 0.996308944,
3074.567338249, 0.996300228,
3074.587770624, 0.996266521,
3074.608202997, 0.996300244,
3074.649067744, 0.996299423,
3074.669500116, 0.996376959,
3074.689932588, 0.996377124,
3074.710364959, 0.996348522,
3074.730797230, 0.996456663,
3074.751229700, 0.996457003,
3074.771662069, 0.996423155,
3074.792094339, 0.996402091,
3074.812526808, 0.996440286,
3074.832959176, 0.996451237,
3074.853391443, 0.996496271,
3074.894256277, 0.996412149,
3074.914688544, 0.996399092,
3074.935121009, 0.996377890,
3074.955553374, 0.996366470,
3074.975985639, 0.996376389,
3074.996418103, 0.996446871,
3075.016850467, 0.996468729,
3075.037282830, 0.996452255,
3075.057715193, 0.996473098,
3075.078147554, 0.996469165,
3075.098579916, 0.996461823,
3075.139444638, 0.996326840,
3075.159876998, 0.996422526,
3075.180309357, 0.996439480,
3075.200741716, 0.996416484,
3075.221174175, 0.996374733,
3075.241606433, 0.996440350,
3075.262038791, 0.996453215,
3075.282471247, 0.996456190,
3075.302903504, 0.996448389,
3075.323335860, 0.996500798,
3075.343768315, 0.996531667,
3075.364200570, 0.996511481,
3075.384632925, 0.996586085,
3075.405065379, 0.996563214,
3075.425497632, 0.996566703,
3075.445929985, 0.996618870,
3075.466362438, 0.996663154,
3075.486794690, 0.996708811,
3075.507227041, 0.996677814,
3075.527659492, 0.996645348,
3075.548091843, 0.996650146,
3075.568524092, 0.996652680,
3075.588956542, 0.996676945,
3075.629821239, 0.996738152,
3075.650253587, 0.996702456,
3075.670685935, 0.996778807,
3075.691118382, 0.996705877,
3075.711550628, 0.996740626,
3075.731982974, 0.996734372,
3075.752415319, 0.996728349,
3075.772847664, 0.996728828,
3075.793280009, 0.996755471,
3075.813712352, 0.996779125,
3075.834144696, 0.996699610,
3075.875009381, 0.996798073,
3075.895441723, 0.996864841,
3075.915874065, 0.996844951,
3075.936306406, 0.996926130,
3075.956738746, 0.996901277,
3075.977171086, 0.996897932,
3075.997603425, 0.996909719,
3076.018035764, 0.996878991,
3076.038468102, 0.996925200,
3076.058900540, 0.996985306,
3076.079332778, 0.996937986,
3076.120197551, 0.997037574,
3076.140629787, 0.997008954,
3076.161062122, 0.997031940,
3076.181494557, 0.997048393,
3076.201926791, 0.997029166,
3076.222359125, 0.997044017,
3076.242791559, 0.997091262,
3076.263223792, 0.997096069,
3076.283656224, 0.997060166,
3076.304088556, 0.997098128,
3076.324520787, 0.997143912,
3076.365385548, 0.997164598,
3076.385817878, 0.997137767,
3076.406250208, 0.997184167,
3076.426682536, 0.997176173,
3076.447114865, 0.997211491,
3076.467547193, 0.997188906,
3076.487979520, 0.997241489,
3076.508411847, 0.997381252,
3076.528844174, 0.997298403,
3076.549276500, 0.997211959,
3076.569708825, 0.997273105,
3076.631005698, 0.997380197,
3076.651438121, 0.997314336,
3076.671870445, 0.997279199,
3076.692302667, 0.997280671,
3076.712735089, 0.997391130,
3076.733167410, 0.997430805,
3076.753599731, 0.997438212,
3076.774032052, 0.997420072,
3076.794464372, 0.997433196,
3076.814896691, 0.997505893,
3076.835329010, 0.997486223,
3076.855761329, 0.997496696,
3076.876193747, 0.997541203,
3076.896626064, 0.997482391,
3076.917058281, 0.997468790,
3076.937490698, 0.997460990,
3076.957923013, 0.997519300,
3076.978355229, 0.997529724,
3076.998787644, 0.997544318,
3077.019219959, 0.997505038,
3077.039652173, 0.997607573,
3077.060084586, 0.997532856,
3077.100949112, 0.997513782,
3077.121381524, 0.997539201,
3077.141813836, 0.997591911,
3077.162246047, 0.997585779,
3077.182678457, 0.997564189,
3077.203110767, 0.997610277,
3077.223543077, 0.997602686,
3077.243975386, 0.997654870,
3077.264407695, 0.997657950,
3077.284840003, 0.997675186,
3077.305272311, 0.997685843,
3077.325704617, 0.997707086,
3077.346136824, 0.997774422,
3077.366569231, 0.997781298,
3077.387001536, 0.997784789,
3077.407433741, 0.997710829,
3077.427866146, 0.997820013,
3077.448298450, 0.997822822,
3077.468730654, 0.997803356,
3077.489163057, 0.997788616,
3077.509595360, 0.997793849,
3077.530027562, 0.997763933,
3077.550459964, 0.997811900,
3077.591324666, 0.997897319,
3077.611756866, 0.997871643,
3077.632189166, 0.997852602,
3077.652621566, 0.997937577,
3077.673053764, 0.997889095,
3077.693486063, 0.997885541,
3077.713918461, 0.997886751,
3077.734350758, 0.997899004,
3077.754782955, 0.997955268,
3077.775215351, 0.997945047,
3077.795647647, 0.997955758,
3077.836512238, 0.997961513,
3077.856944532, 0.997923678,
3077.877376726, 0.997971736,
3077.897809119, 0.998011953,
3077.918241412, 0.998007583,
3077.938673605, 0.998064643,
3077.959105997, 0.998092171,
3077.979538289, 0.998108883,
3077.999970480, 0.998129690,
3078.020402870, 0.998126685,
3078.040835060, 0.998129550,
3078.061267450, 0.998153389,
3078.081699739, 0.998126406,
3078.102132027, 0.998086054,
3078.122564216, 0.998094318,
3078.142996603, 0.998072188,
3078.163428891, 0.998129920,
3078.183861078, 0.998164427,
3078.204293463, 0.998138230,
3078.224725749, 0.998122189,
3078.245158134, 0.998117348,
3078.265590319, 0.998101475,
3078.286022603, 0.998099427,
3078.326887170, 0.998178165,
3078.347319454, 0.998274169,
3078.367751836, 0.998295090,
3078.388184018, 0.998294947,
3078.408616299, 0.998273094,
3078.429048680, 0.998262363,
3078.449480860, 0.998264650,
